Year,Series,Sex,Cobertura,Residencia,Discapacidad,Province,County,Municipality,Units,GeoCode,Value
2023,EU_COV_PENSN,,,,,,,Berriz,Percentage,Berriz,25.0
2022,EU_COV_PENSN,,,,,,,Berriz,Percentage,Berriz,25.0
2022,EU_COV_PENSN,,,,,,,Berrobi,Percentage,Berrobi,21.1
2023,EU_COV_PENSN,,,,,,,Berrobi,Percentage,Berrobi,22.2
2023,EU_COV_PENSN,,,,,,,Bidania-Goiatz,Percentage,Bidania-Goiatz,23.8
2022,EU_COV_PENSN,,,,,,,Bidania-Goiatz,Percentage,Bidania-Goiatz,24.0
2023,EU_COV_PENSN,,,,,,,Bilbao,Percentage,Bilbao,26.9
2022,EU_COV_PENSN,,,,,,,Bilbao,Percentage,Bilbao,27.1
2022,EU_COV_PENSN,,,,,,,Busturia,Percentage,Busturia,28.8
2023,EU_COV_PENSN,,,,,,,Busturia,Percentage,Busturia,28.4
2023,EU_COV_PENSN,,,,,,,Campezo/Kanpezu,Percentage,Campezo/Kanpezu,28.9
2022,EU_COV_PENSN,,,,,,,Campezo/Kanpezu,Percentage,Campezo/Kanpezu,28.2
2023,EU_COV_PENSN,,,,,,,Deba,Percentage,Deba,27.1
2022,EU_COV_PENSN,,,,,,,Deba,Percentage,Deba,27.0
2023,EU_COV_PENSN,,,,,,,Derio,Percentage,Derio,21.0
2022,EU_COV_PENSN,,,,,,,Derio,Percentage,Derio,21.0
2023,EU_COV_PENSN,,,,,,,Dima,Percentage,Dima,21.5
2022,EU_COV_PENSN,,,,,,,Dima,Percentage,Dima,21.2
2022,EU_COV_PENSN,,,,,,,Donostia / San Sebastián,Percentage,Donostia / San Sebastián,28.0
2023,EU_COV_PENSN,,,,,,,Donostia / San Sebastián,Percentage,Donostia / San Sebastián,28.0
2022,EU_COV_PENSN,,,,,,,Durango,Percentage,Durango,22.7
2023,EU_COV_PENSN,,,,,,,Durango,Percentage,Durango,22.9
2022,EU_COV_PENSN,,,,,,,Ea,Percentage,Ea,25.1
2023,EU_COV_PENSN,,,,,,,Ea,Percentage,Ea,24.7
2023,EU_COV_PENSN,,,,,,,Eibar,Percentage,Eibar,30.3
2022,EU_COV_PENSN,,,,,,,Eibar,Percentage,Eibar,30.4
2023,EU_COV_PENSN,,,,,,,Elantxobe,Percentage,Elantxobe,34.2
2022,EU_COV_PENSN,,,,,,,Elantxobe,Percentage,Elantxobe,35.9
2022,EU_COV_PENSN,,,,,,,Elburgo/Burgelu,Percentage,Elburgo/Burgelu,17.1
2023,EU_COV_PENSN,,,,,,,Elburgo/Burgelu,Percentage,Elburgo/Burgelu,18.4
2022,EU_COV_PENSN,,,,,,,Elciego,Percentage,Elciego,24.4
2023,EU_COV_PENSN,,,,,,,Elciego,Percentage,Elciego,24.0
2023,EU_COV_PENSN,,,,,,,Elduain,Percentage,Elduain,22.9
2022,EU_COV_PENSN,,,,,,,Elduain,Percentage,Elduain,23.0
2022,EU_COV_PENSN,,,,,,,Elgeta,Percentage,Elgeta,24.8
2023,EU_COV_PENSN,,,,,,,Elgeta,Percentage,Elgeta,25.6
2023,EU_COV_PENSN,,,,,,,Elgoibar,Percentage,Elgoibar,26.7
2022,EU_COV_PENSN,,,,,,,Elgoibar,Percentage,Elgoibar,26.6
2023,EU_COV_PENSN,,,,,,,Elorrio,Percentage,Elorrio,27.8
2022,EU_COV_PENSN,,,,,,,Elorrio,Percentage,Elorrio,27.3
2022,EU_COV_PENSN,,,,,,,Elvillar/Bilar,Percentage,Elvillar/Bilar,35.6
2023,EU_COV_PENSN,,,,,,,Elvillar/Bilar,Percentage,Elvillar/Bilar,37.9
2022,EU_COV_PENSN,,,,,,,Erandio,Percentage,Erandio,24.4
2023,EU_COV_PENSN,,,,,,,Erandio,Percentage,Erandio,24.6
2022,EU_COV_PENSN,,,,,,,Ereño,Percentage,Ereño,29.5
2023,EU_COV_PENSN,,,,,,,Ereño,Percentage,Ereño,29.6
2023,EU_COV_PENSN,,,,,,,Ermua,Percentage,Ermua,29.1
2022,EU_COV_PENSN,,,,,,,Ermua,Percentage,Ermua,28.6
2022,EU_COV_PENSN,,,,,,,Errenteria,Percentage,Errenteria,27.1
2023,EU_COV_PENSN,,,,,,,Errenteria,Percentage,Errenteria,26.8
2023,EU_COV_PENSN,,,,,,,Errezil,Percentage,Errezil,26.1
2022,EU_COV_PENSN,,,,,,,Errezil,Percentage,Errezil,27.6
2023,EU_COV_PENSN,,,,,,,Erriberagoitia/Ribera Alta,Percentage,Erriberagoitia/Ribera Alta,18.6
2022,EU_COV_PENSN,,,,,,,Erriberagoitia/Ribera Alta,Percentage,Erriberagoitia/Ribera Alta,17.7
2022,EU_COV_PENSN,,,,,,,Errigoiti,Percentage,Errigoiti,26.5
2023,EU_COV_PENSN,,,,,,,Errigoiti,Percentage,Errigoiti,25.8
2023,EU_COV_PENSN,,,,,,,Eskoriatza,Percentage,Eskoriatza,26.8
2022,EU_COV_PENSN,,,,,,,Eskoriatza,Percentage,Eskoriatza,26.8
2023,EU_COV_PENSN,,,,,,,Etxebarri,Percentage,Etxebarri,16.7
2022,EU_COV_PENSN,,,,,,,Etxebarri,Percentage,Etxebarri,16.6
2023,EU_COV_PENSN,,,,,,,Etxebarria,Percentage,Etxebarria,39.4
2022,EU_COV_PENSN,,,,,,,Etxebarria,Percentage,Etxebarria,39.2
2022,EU_COV_PENSN,,,,,,,Ezkio-Itsaso,Percentage,Ezkio-Itsaso,26.2
2023,EU_COV_PENSN,,,,,,,Ezkio-Itsaso,Percentage,Ezkio-Itsaso,26.5
2023,EU_COV_PENSN,,,,,,,Forua,Percentage,Forua,28.5
2022,EU_COV_PENSN,,,,,,,Forua,Percentage,Forua,29.0
2022,EU_COV_PENSN,,,,,,,Fruiz,Percentage,Fruiz,21.7
2023,EU_COV_PENSN,,,,,,,Fruiz,Percentage,Fruiz,21.2
2022,EU_COV_PENSN,,,,,,,Gabiria,Percentage,Gabiria,24.4
2023,EU_COV_PENSN,,,,,,,Gabiria,Percentage,Gabiria,25.1
2022,EU_COV_PENSN,,,,,,,Gaintza,Percentage,Gaintza,16.3
2023,EU_COV_PENSN,,,,,,,Gaintza,Percentage,Gaintza,18.4
2023,EU_COV_PENSN,,,,,,,Galdakao,Percentage,Galdakao,26.1
2022,EU_COV_PENSN,,,,,,,Galdakao,Percentage,Galdakao,25.7
2022,EU_COV_PENSN,,,,,,,Galdames,Percentage,Galdames,25.1
2023,EU_COV_PENSN,,,,,,,Galdames,Percentage,Galdames,25.2
2023,EU_COV_PENSN,,,,,,,Gamiz-Fika,Percentage,Gamiz-Fika,26.6
2022,EU_COV_PENSN,,,,,,,Gamiz-Fika,Percentage,Gamiz-Fika,25.3
2022,EU_COV_PENSN,,,,,,,Garai,Percentage,Garai,16.7
2023,EU_COV_PENSN,,,,,,,Garai,Percentage,Garai,18.0
2022,EU_COV_PENSN,,,,,,,Gatika,Percentage,Gatika,24.0
2023,EU_COV_PENSN,,,,,,,Gatika,Percentage,Gatika,24.6
2022,EU_COV_PENSN,,,,,,,Gautegiz Arteaga,Percentage,Gautegiz Arteaga,23.0
2023,EU_COV_PENSN,,,,,,,Gautegiz Arteaga,Percentage,Gautegiz Arteaga,23.0
2023,EU_COV_PENSN,,,,,,,Gaztelu,Percentage,Gaztelu,14.2
2022,EU_COV_PENSN,,,,,,,Gaztelu,Percentage,Gaztelu,14.4
2023,EU_COV_PENSN,,,,,,,Gernika-Lumo,Percentage,Gernika-Lumo,26.6
2022,EU_COV_PENSN,,,,,,,Gernika-Lumo,Percentage,Gernika-Lumo,26.8
2023,EU_COV_PENSN,,,,,,,Getaria,Percentage,Getaria,24.1
2022,EU_COV_PENSN,,,,,,,Getaria,Percentage,Getaria,23.9
2022,EU_COV_PENSN,,,,,,,Getxo,Percentage,Getxo,26.3
2023,EU_COV_PENSN,,,,,,,Getxo,Percentage,Getxo,26.7
2023,EU_COV_PENSN,,,,,,,Gizaburuaga,Percentage,Gizaburuaga,19.1
2022,EU_COV_PENSN,,,,,,,Gizaburuaga,Percentage,Gizaburuaga,18.6
2023,EU_COV_PENSN,,,,,,,Gordexola,Percentage,Gordexola,24.2
2022,EU_COV_PENSN,,,,,,,Gordexola,Percentage,Gordexola,23.8
2022,EU_COV_PENSN,,,,,,,Gorliz,Percentage,Gorliz,19.8
2023,EU_COV_PENSN,,,,,,,Gorliz,Percentage,Gorliz,20.2
2023,EU_COV_PENSN,,,,,,,Güeñes,Percentage,Güeñes,24.5
2022,EU_COV_PENSN,,,,,,,Güeñes,Percentage,Güeñes,24.5
2023,EU_COV_PENSN,,,,,,,Harana/Valle de Arana,Percentage,Harana/Valle de Arana,47.2
2022,EU_COV_PENSN,,,,,,,Harana/Valle de Arana,Percentage,Harana/Valle de Arana,49.4
2022,EU_COV_PENSN,,,,,,,Hernani,Percentage,Hernani,24.3
2023,EU_COV_PENSN,,,,,,,Hernani,Percentage,Hernani,24.3
2023,EU_COV_PENSN,,,,,,,Hernialde,Percentage,Hernialde,29.6
2022,EU_COV_PENSN,,,,,,,Hernialde,Percentage,Hernialde,26.4
2022,EU_COV_PENSN,,,,,,,Hondarribia,Percentage,Hondarribia,24.3
2023,EU_COV_PENSN,,,,,,,Hondarribia,Percentage,Hondarribia,24.7
2022,EU_COV_PENSN,,,,,,,Ibarra,Percentage,Ibarra,29.6
2023,EU_COV_PENSN,,,,,,,Ibarra,Percentage,Ibarra,30.0
2023,EU_COV_PENSN,,,,,,,Ibarrangelu,Percentage,Ibarrangelu,22.4
2022,EU_COV_PENSN,,,,,,,Ibarrangelu,Percentage,Ibarrangelu,23.6
2022,EU_COV_PENSN,,,,,,,Idiazabal,Percentage,Idiazabal,27.4
2023,EU_COV_PENSN,,,,,,,Idiazabal,Percentage,Idiazabal,27.4
2023,EU_COV_PENSN,,,,,,,Igorre,Percentage,Igorre,25.6
2022,EU_COV_PENSN,,,,,,,Igorre,Percentage,Igorre,25.2
2022,EU_COV_PENSN,,,,,,,Ikaztegieta,Percentage,Ikaztegieta,26.7
2023,EU_COV_PENSN,,,,,,,Ikaztegieta,Percentage,Ikaztegieta,26.1
2023,EU_COV_PENSN,,,,,,,Irun,Percentage,Irun,25.5
2022,EU_COV_PENSN,,,,,,,Irun,Percentage,Irun,25.4
2023,EU_COV_PENSN,,,,,,,Iruña Oka/Iruña de Oca,Percentage,Iruña Oka/Iruña de Oca,14.7
2022,EU_COV_PENSN,,,,,,,Iruña Oka/Iruña de Oca,Percentage,Iruña Oka/Iruña de Oca,14.5
2023,EU_COV_PENSN,,,,,,,Irura,Percentage,Irura,13.3
2022,EU_COV_PENSN,,,,,,,Irura,Percentage,Irura,12.8
2022,EU_COV_PENSN,,,,,,,Iruraiz-Gauna,Percentage,Iruraiz-Gauna,26.5
2023,EU_COV_PENSN,,,,,,,Iruraiz-Gauna,Percentage,Iruraiz-Gauna,26.6
2022,EU_COV_PENSN,,,,,,,Ispaster,Percentage,Ispaster,26.0
2023,EU_COV_PENSN,,,,,,,Ispaster,Percentage,Ispaster,25.1
2023,EU_COV_PENSN,,,,,,,Itsasondo,Percentage,Itsasondo,21.5
2022,EU_COV_PENSN,,,,,,,Itsasondo,Percentage,Itsasondo,21.6
2023,EU_COV_PENSN,,,,,,,Iurreta,Percentage,Iurreta,25.9
2022,EU_COV_PENSN,,,,,,,Iurreta,Percentage,Iurreta,25.9
2023,EU_COV_PENSN,,,,,,,Izurtza,Percentage,Izurtza,26.5
2022,EU_COV_PENSN,,,,,,,Izurtza,Percentage,Izurtza,27.6
2022,EU_COV_PENSN,,,,,,,Karrantza Harana/Valle de Carranza,Percentage,Karrantza Harana/Valle de Carranza,29.1
2023,EU_COV_PENSN,,,,,,,Karrantza Harana/Valle de Carranza,Percentage,Karrantza Harana/Valle de Carranza,29.0
2022,EU_COV_PENSN,,,,,,,Kortezubi,Percentage,Kortezubi,22.5
2023,EU_COV_PENSN,,,,,,,Kortezubi,Percentage,Kortezubi,22.1
2022,EU_COV_PENSN,,,,,,,Kripan,Percentage,Kripan,23.6
2023,EU_COV_PENSN,,,,,,,Kripan,Percentage,Kripan,23.2
2022,EU_COV_PENSN,,,,,,,Kuartango,Percentage,Kuartango,24.7
2023,EU_COV_PENSN,,,,,,,Kuartango,Percentage,Kuartango,26.8
2023,EU_COV_PENSN,,,,,,,Labastida/Bastida,Percentage,Labastida/Bastida,20.9
2022,EU_COV_PENSN,,,,,,,Labastida/Bastida,Percentage,Labastida/Bastida,20.9
2022,EU_COV_PENSN,,,,,,,Lagrán,Percentage,Lagrán,23.2
2023,EU_COV_PENSN,,,,,,,Lagrán,Percentage,Lagrán,23.0
2022,EU_COV_PENSN,,,,,,,Laguardia,Percentage,Laguardia,22.7
2023,EU_COV_PENSN,,,,,,,Laguardia,Percentage,Laguardia,23.0
2022,EU_COV_PENSN,,,,,,,Lanciego/Lantziego,Percentage,Lanciego/Lantziego,24.3
2023,EU_COV_PENSN,,,,,,,Lanciego/Lantziego,Percentage,Lanciego/Lantziego,24.1
2023,EU_COV_PENSN,,,,,,,Lanestosa,Percentage,Lanestosa,28.8
2022,EU_COV_PENSN,,,,,,,Lanestosa,Percentage,Lanestosa,26.2
2022,EU_COV_PENSN,,,,,,,Lantarón,Percentage,Lantarón,20.3
2023,EU_COV_PENSN,,,,,,,Lantarón,Percentage,Lantarón,20.7
2022,EU_COV_PENSN,,,,,,,Lapuebla de Labarca,Percentage,Lapuebla de Labarca,27.5
2023,EU_COV_PENSN,,,,,,,Lapuebla de Labarca,Percentage,Lapuebla de Labarca,27.8
2023,EU_COV_PENSN,,,,,,,Larrabetzu,Percentage,Larrabetzu,23.3
2022,EU_COV_PENSN,,,,,,,Larrabetzu,Percentage,Larrabetzu,23.0
2023,EU_COV_PENSN,,,,,,,Larraul,Percentage,Larraul,19.0
2022,EU_COV_PENSN,,,,,,,Larraul,Percentage,Larraul,20.0
2023,EU_COV_PENSN,,,,,,,Lasarte-Oria,Percentage,Lasarte-Oria,26.5
2022,EU_COV_PENSN,,,,,,,Lasarte-Oria,Percentage,Lasarte-Oria,26.6
2022,EU_COV_PENSN,,,,,,,Laudio/Llodio,Percentage,Laudio/Llodio,27.8
2023,EU_COV_PENSN,,,,,,,Laudio/Llodio,Percentage,Laudio/Llodio,28.0
2022,EU_COV_PENSN,,,,,,,Laukiz,Percentage,Laukiz,21.2
2023,EU_COV_PENSN,,,,,,,Laukiz,Percentage,Laukiz,21.2
2022,EU_COV_PENSN,,,,,,,Lazkao,Percentage,Lazkao,21.7
2023,EU_COV_PENSN,,,,,,,Lazkao,Percentage,Lazkao,22.1
2022,EU_COV_PENSN,,,,,,,Leaburu,Percentage,Leaburu,31.7
2023,EU_COV_PENSN,,,,,,,Leaburu,Percentage,Leaburu,30.6
2023,EU_COV_PENSN,,,,,,,Legazpi,Percentage,Legazpi,29.8
2022,EU_COV_PENSN,,,,,,,Legazpi,Percentage,Legazpi,30.1
2022,EU_COV_PENSN,,,,,,,Legorreta,Percentage,Legorreta,25.6
2023,EU_COV_PENSN,,,,,,,Legorreta,Percentage,Legorreta,25.3
2022,EU_COV_PENSN,,,,,,,Legutio,Percentage,Legutio,19.1
2023,EU_COV_PENSN,,,,,,,Legutio,Percentage,Legutio,19.4
2023,EU_COV_PENSN,,,,,,,Leintz-Gatzaga,Percentage,Leintz-Gatzaga,25.4
2022,EU_COV_PENSN,,,,,,,Leintz-Gatzaga,Percentage,Leintz-Gatzaga,23.2
2023,EU_COV_PENSN,,,,,,,Leioa,Percentage,Leioa,21.7
2022,EU_COV_PENSN,,,,,,,Leioa,Percentage,Leioa,21.4
2022,EU_COV_PENSN,,,,,,,Lekeitio,Percentage,Lekeitio,29.2
2023,EU_COV_PENSN,,,,,,,Lekeitio,Percentage,Lekeitio,29.2
2023,EU_COV_PENSN,,,,,,,Lemoa,Percentage,Lemoa,19.8
